"Registration #","Salesforce #",Name,Type,Venue,Denomination,Location,Missionary,"Created Date","Expiration Date",Puggles,Cubbies,Sparks,Flame,Torch,"Truth Seekers","Living God's Story",T&T,"Jr. Varsity",Trek,Journey,Descubrelo,"Building Healthy Families",Total,Leaders
TZ000261,1046032,"Pentecoste Holiness Association Mission","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:22 AM","Jan 2027",0,27,29,38,36,0,0,0,0,0,0,0,0,130,7
TZ000262,1046033,"Tanzania Assemblies of God","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:28:10 AM","Jan 2027",0,28,29,35,37,0,0,0,0,0,0,0,0,129,6
TZ000263,1046034,"Tanzania Assemblies of God","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:26:20 AM","Jan 2027",0,19,28,29,29,0,0,0,0,0,0,0,0,105,9
TZ000264,1046041,"Free Pentecoste Church of Tanzania","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:14 AM","Jan 2027",0,17,29,28,36,0,0,0,0,0,0,0,0,110,7
TZ000265,1046042,"Moravian Church of Tanzania","Leader based",Church,Moravian,RUKWA,"Yohana Simkanga","1/11/2018 12:30:47 AM","Jan 2027",0,0,29,37,29,0,0,0,0,0,0,0,0,95,7
TZ000266,1046043,"Free Pentecoste Church of Tanzania","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:28:10 AM","Jan 2027",0,15,28,29,29,0,0,0,0,0,0,0,0,101,9
TZ000267,1046045,"Redeemed Assemblies of God (T)","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:26:14 AM","Jan 2027",0,28,29,29,29,27,0,0,0,0,0,0,0,142,6
TZ000268,1046052,"Tanzania Assemblies of God - Elshaddai","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:28:16 AM","Jan 2027",0,18,37,27,26,0,0,0,0,0,0,0,0,108,6
TZ000269,1046054,"Tanzania Assemblies of God-Shoham Gospel","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:26:22 AM","Jan 2027",0,17,26,37,26,0,0,0,0,0,0,0,0,106,8
TZ000270,1046055,"Pentecoste Holiness Mission","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:15 AM","Jan 2027",0,18,33,36,31,0,0,0,0,0,0,0,0,118,4
TZ000271,1046057,"Church of God of Prophecy","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:15 AM","Jan 2027",0,27,35,29,29,0,0,0,0,0,0,0,0,120,7
TZ000272,1046058,"Free Pentecoste Church of Tanzania","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:20 AM","Jan 2027",0,49,89,97,67,0,0,0,0,0,0,0,0,302,18
TZ000273,1046059,"Evangelistic Assemblies of God-Chanji","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:27:14 AM","Jan 2027",0,19,27,28,28,0,0,0,0,0,0,0,0,102,7
TZ000274,1046060,"Free Pentecoste Assemblies of God-Malonj","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:28:21 AM","Jan 2027",0,18,29,29,39,0,0,0,0,0,0,0,0,115,8
TZ000276,1046062,"Pentecoste Gospel Revival Assembly","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:28:10 AM","Jan 2027",0,18,29,28,19,0,0,0,0,0,0,0,0,94,9
